dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,hum,windspeed,cnt,humidity_group
2011-01-04,1,0,1,2,0,2,1,Clear,0.63,0.1343,1,Humid
2011-01-04,1,0,1,4,0,2,1,Clear,0.63,0.0896,2,Humid
2011-01-04,1,0,1,5,0,2,1,Clear,0.68,0.1045,4,Humid
2011-01-04,1,0,1,6,0,2,1,Clear,0.74,0.1045,36,Humid
2011-01-04,1,0,1,7,0,2,1,Clear,0.74,0.1343,94,Humid
2011-01-04,1,0,1,8,0,2,1,Clear,0.69,0.1642,179,Humid
2011-01-04,1,0,1,9,0,2,1,Clear,0.64,0.2239,100,Humid
2011-01-04,1,0,1,10,0,2,1,Mist,0.69,0.3284,42,Humid
2011-01-04,1,0,1,11,0,2,1,Clear,0.51,0.2985,57,Normal
2011-01-04,1,0,1,12,0,2,1,Clear,0.51,0.1642,78,Normal
2011-01-04,1,0,1,13,0,2,1,Clear,0.56,0.194,97,Normal
2011-01-04,1,0,1,14,0,2,1,Clear,0.52,0.2239,63,Normal
2011-01-04,1,0,1,15,0,2,1,Clear,0.52,0.2537,65,Normal
2011-01-04,1,0,1,16,0,2,1,Clear,0.49,0.2537,83,Normal
2011-01-04,1,0,1,17,0,2,1,Clear,0.48,0.2239,212,Normal
2011-01-04,1,0,1,18,0,2,1,Clear,0.48,0.194,182,Normal
2011-01-04,1,0,1,19,0,2,1,Clear,0.48,0.1045,112,Normal
2011-01-04,1,0,1,20,0,2,1,Clear,0.48,0.1045,54,Normal
2011-01-04,1,0,1,21,0,2,1,Clear,0.64,0.0,48,Humid
2011-01-04,1,0,1,22,0,2,1,Clear,0.64,0.0896,35,Humid
2011-01-04,1,0,1,23,0,2,1,Clear,0.69,0.0896,11,Humid
2011-01-05,1,0,1,0,0,3,1,Clear,0.64,0.0,6,Humid
2011-01-05,1,0,1,1,0,3,1,Clear,0.74,0.0896,6,Humid
2011-01-05,1,0,1,2,0,3,1,Clear,0.74,0.0896,2,Humid
2011-01-05,1,0,1,4,0,3,1,Clear,0.48,0.2239,2,Normal
2011-01-05,1,0,1,5,0,3,1,Clear,0.47,0.1642,3,Normal
2011-01-05,1,0,1,6,0,3,1,Clear,0.47,0.2239,33,Normal
2011-01-05,1,0,1,7,0,3,1,Clear,0.43,0.194,88,Normal
2011-01-05,1,0,1,8,0,3,1,Clear,0.4,0.2985,195,Dry
2011-01-05,1,0,1,9,0,3,1,Clear,0.37,0.3284,115,Dry
2011-01-05,1,0,1,10,0,3,1,Clear,0.37,0.3284,57,Dry
2011-01-05,1,0,1,11,0,3,1,Clear,0.33,0.3284,46,Dry
2011-01-05,1,0,1,12,0,3,1,Clear,0.33,0.3284,79,Dry
2011-01-05,1,0,1,13,0,3,1,Clear,0.3,0.2985,71,Dry
2011-01-05,1,0,1,14,0,3,1,Clear,0.28,0.194,62,Dry
2011-01-05,1,0,1,15,0,3,1,Clear,0.28,0.194,62,Dry
2011-01-05,1,0,1,16,0,3,1,Clear,0.28,0.0896,89,Dry
2011-01-05,1,0,1,17,0,3,1,Clear,0.38,0.194,190,Dry
2011-01-05,1,0,1,18,0,3,1,Clear,0.38,0.1343,169,Dry
2011-01-05,1,0,1,19,0,3,1,Clear,0.38,0.1045,132,Dry
2011-01-05,1,0,1,20,0,3,1,Clear,0.47,0.1642,89,Normal
2011-01-05,1,0,1,21,0,3,1,Clear,0.51,0.194,43,Normal
2011-01-05,1,0,1,22,0,3,1,Clear,0.55,0.1343,42,Normal
2011-01-05,1,0,1,23,0,3,1,Clear,0.47,0.0,19,Normal
2011-01-06,1,0,1,0,0,4,1,Clear,0.55,0.0,11,Normal
2011-01-06,1,0,1,1,0,4,1,Clear,0.64,0.0,4,Humid
2011-01-06,1,0,1,2,0,4,1,Clear,0.64,0.0,2,Humid
2011-01-06,1,0,1,4,0,4,1,Mist,0.64,0.0896,1,Humid
2011-01-06,1,0,1,5,0,4,1,Mist,0.69,0.0896,4,Humid
2011-01-06,1,0,1,6,0,4,1,Mist,0.63,0.1045,36,Humid
2011-01-06,1,0,1,7,0,4,1,Mist,0.59,0.0,95,Normal
2011-01-06,1,0,1,8,0,4,1,Clear,0.59,0.0,219,Normal
2011-01-06,1,0,1,9,0,4,1,Mist,0.51,0.0,122,Normal
2011-01-06,1,0,1,10,0,4,1,Clear,0.47,0.0,45,Normal
2011-01-06,1,0,1,11,0,4,1,Clear,0.44,0.0896,59,Normal
2011-01-06,1,0,1,12,0,4,1,Clear,0.35,0.0,84,Dry
2011-01-06,1,0,1,13,0,4,1,Clear,0.35,0.1045,67,Dry
2011-01-06,1,0,1,14,0,4,1,Clear,0.36,0.1642,70,Dry
2011-01-06,1,0,1,15,0,4,1,Clear,0.36,0.0,62,Dry
2011-01-06,1,0,1,16,0,4,1,Clear,0.38,0.1642,86,Dry
2011-01-06,1,0,1,17,0,4,1,Clear,0.51,0.1642,172,Normal
2011-01-06,1,0,1,18,0,4,1,Clear,0.51,0.1343,163,Normal
2011-01-06,1,0,1,19,0,4,1,Clear,0.55,0.0896,112,Normal
2011-01-06,1,0,1,20,0,4,1,Clear,0.51,0.1642,69,Normal
2011-01-06,1,0,1,21,0,4,1,Mist,0.55,0.2239,48,Normal
2011-01-06,1,0,1,22,0,4,1,Mist,0.51,0.2836,52,Normal
2011-01-06,1,0,1,23,0,4,1,Mist,0.59,0.194,23,Normal
2011-01-07,1,0,1,0,0,5,1,Mist,0.64,0.194,17,Humid
2011-01-07,1,0,1,1,0,5,1,Mist,0.69,0.2239,7,Humid
2011-01-07,1,0,1,2,0,5,1,Mist,0.69,0.2239,1,Humid
2011-01-07,1,0,1,4,0,5,1,Mist,0.69,0.1343,1,Humid
2011-01-07,1,0,1,5,0,5,1,Light snow,0.55,0.0,5,Normal
2011-01-07,1,0,1,6,0,5,1,Mist,0.69,0.0,34,Humid
2011-01-07,1,0,1,7,0,5,1,Clear,0.69,0.1343,84,Humid
2011-01-07,1,0,1,8,0,5,1,Clear,0.51,0.2537,210,Normal
2011-01-07,1,0,1,9,0,5,1,Clear,0.47,0.2985,134,Normal
2011-01-07,1,0,1,10,0,5,1,Clear,0.37,0.3284,63,Dry
2011-01-07,1,0,1,11,0,5,1,Mist,0.4,0.2239,67,Dry
2011-01-07,1,0,1,12,0,5,1,Mist,0.37,0.2537,59,Dry
2011-01-07,1,0,1,13,0,5,1,Mist,0.37,0.2836,73,Dry
2011-01-07,1,0,1,14,0,5,1,Mist,0.4,0.2537,50,Dry
2011-01-07,1,0,1,15,0,5,1,Mist,0.37,0.1642,72,Dry
2011-01-07,1,0,1,16,0,5,1,Mist,0.37,0.1642,87,Dry
2011-01-07,1,0,1,17,0,5,1,Mist,0.37,0.0,187,Dry
2011-01-07,1,0,1,18,0,5,1,Clear,0.4,0.0896,123,Dry
2011-01-07,1,0,1,19,0,5,1,Clear,0.55,0.0896,95,Normal
2011-01-07,1,0,1,20,0,5,1,Clear,0.47,0.1045,51,Normal
2011-01-07,1,0,1,21,0,5,1,Clear,0.47,0.1343,39,Normal
2011-01-07,1,0,1,22,0,5,1,Mist,0.43,0.1642,36,Normal
2011-01-07,1,0,1,23,0,5,1,Mist,0.51,0.1642,15,Normal
2011-01-08,1,0,1,0,0,6,0,Mist,0.51,0.1642,25,Normal
2011-01-08,1,0,1,1,0,6,0,Mist,0.55,0.0896,16,Normal
2011-01-08,1,0,1,2,0,6,0,Mist,0.55,0.0,16,Normal
2011-01-08,1,0,1,3,0,6,0,Light snow,0.55,0.1642,7,Normal
2011-01-08,1,0,1,4,0,6,0,Light snow,0.55,0.1642,1,Normal
2011-01-08,1,0,1,5,0,6,0,Mist,0.74,0.1642,5,Humid
2011-01-08,1,0,1,6,0,6,0,Mist,0.74,0.1642,2,Humid
2011-01-08,1,0,1,7,0,6,0,Mist,0.74,0.1045,9,Humid
2011-01-08,1,0,1,8,0,6,0,Light snow,0.93,0.1045,15,Very Humid
2011-01-08,1,0,1,9,0,6,0,Light snow,0.93,0.1045,20,Very Humid
2011-01-08,1,0,1,10,0,6,0,Mist,0.8,0.1642,61,Humid
2011-01-08,1,0,1,11,0,6,0,Mist,0.69,0.3881,62,Humid
2011-01-08,1,0,1,12,0,6,0,Mist,0.59,0.3582,98,Normal
2011-01-08,1,0,1,13,0,6,0,Clear,0.44,0.3284,102,Normal
2011-01-08,1,0,1,14,0,6,0,Clear,0.32,0.4925,95,Dry
2011-01-08,1,0,1,15,0,6,0,Clear,0.32,0.4478,74,Dry
2011-01-08,1,0,1,16,0,6,0,Clear,0.29,0.4478,76,Dry
2011-01-08,1,0,1,17,0,6,0,Clear,0.37,0.5522,69,Dry
2011-01-08,1,0,1,18,0,6,0,Clear,0.39,0.2985,55,Dry
2011-01-08,1,0,1,19,0,6,0,Clear,0.36,0.2537,30,Dry
2011-01-08,1,0,1,20,0,6,0,Clear,0.36,0.2537,28,Dry
2011-01-08,1,0,1,21,0,6,0,Clear,0.39,0.3582,37,Dry
2011-01-08,1,0,1,22,0,6,0,Clear,0.36,0.3881,34,Dry
2011-01-08,1,0,1,23,0,6,0,Clear,0.39,0.4478,22,Dry
2011-01-09,1,0,1,0,0,0,0,Clear,0.42,0.3881,25,Normal
2011-01-09,1,0,1,1,0,0,0,Clear,0.42,0.4627,12,Normal
2011-01-09,1,0,1,2,0,0,0,Clear,0.46,0.4627,11,Normal
2011-01-09,1,0,1,3,0,0,0,Clear,0.46,0.4179,4,Normal
2011-01-09,1,0,1,4,0,0,0,Clear,0.53,0.194,1,Normal
2011-01-09,1,0,1,5,0,0,0,Clear,0.53,0.194,1,Normal
2011-01-09,1,0,1,6,0,0,0,Clear,0.49,0.2836,1,Normal
2011-01-09,1,0,1,7,0,0,0,Clear,0.53,0.194,6,Normal
2011-01-09,1,0,1,8,0,0,0,Clear,0.49,0.2836,10,Normal
2011-01-09,1,0,1,9,0,0,0,Clear,0.46,0.5224,19,Normal
2011-01-09,1,0,1,10,0,0,0,Clear,0.43,0.3881,49,Normal
2011-01-09,1,0,1,11,0,0,0,Clear,0.4,0.5224,49,Dry
2011-01-09,1,0,1,12,0,0,0,Clear,0.37,0.4478,83,Dry
2011-01-09,1,0,1,13,0,0,0,Clear,0.34,0.4478,75,Dry
2011-01-09,1,0,1,14,0,0,0,Clear,0.32,0.4627,72,Dry
2011-01-09,1,0,1,15,0,0,0,Clear,0.35,0.3582,82,Dry
2011-01-09,1,0,1,16,0,0,0,Clear,0.34,0.4478,92,Dry
2011-01-09,1,0,1,17,0,0,0,Clear,0.37,0.3881,62,Dry
2011-01-09,1,0,1,18,0,0,0,Clear,0.4,0.3284,48,Dry
2011-01-09,1,0,1,19,0,0,0,Clear,0.43,0.3284,41,Normal
2011-01-09,1,0,1,20,0,0,0,Clear,0.46,0.2537,38,Normal
2011-01-09,1,0,1,21,0,0,0,Clear,0.46,0.4179,20,Normal
2011-01-09,1,0,1,22,0,0,0,Clear,0.46,0.2985,15,Normal
2011-01-09,1,0,1,23,0,0,0,Clear,0.5,0.194,6,Normal
2011-01-10,1,0,1,0,0,1,1,Clear,0.5,0.2836,5,Normal
2011-01-10,1,0,1,1,0,1,1,Clear,0.5,0.2836,1,Normal
2011-01-10,1,0,1,2,0,1,1,Clear,0.5,0.2239,3,Normal
2011-01-10,1,0,1,3,0,1,1,Clear,0.5,0.2239,1,Normal
2011-01-10,1,0,1,4,0,1,1,Clear,0.54,0.1343,3,Normal
2011-01-10,1,0,1,5,0,1,1,Clear,0.54,0.2537,3,Normal
2011-01-10,1,0,1,6,0,1,1,Clear,0.5,0.2836,31,Normal
2011-01-10,1,0,1,7,0,1,1,Clear,0.5,0.2239,77,Normal
2011-01-10,1,0,1,8,0,1,1,Mist,0.5,0.2836,188,Normal
2011-01-10,1,0,1,9,0,1,1,Mist,0.5,0.2537,94,Normal
2011-01-10,1,0,1,10,0,1,1,Mist,0.5,0.2985,31,Normal
2011-01-10,1,0,1,11,0,1,1,Mist,0.47,0.2836,30,Normal
2011-01-10,1,0,1,12,0,1,1,Mist,0.4,0.2836,52,Dry
2011-01-10,1,0,1,13,0,1,1,Mist,0.4,0.2836,54,Dry
2011-01-10,1,0,1,14,0,1,1,Mist,0.4,0.2239,47,Dry
2011-01-10,1,0,1,15,0,1,1,Mist,0.4,0.2239,45,Dry
2011-01-10,1,0,1,16,0,1,1,Clear,0.4,0.1343,74,Dry
2011-01-10,1,0,1,17,0,1,1,Clear,0.4,0.1045,178,Dry
2011-01-10,1,0,1,18,0,1,1,Clear,0.4,0.2239,155,Dry
2011-01-10,1,0,1,19,0,1,1,Clear,0.47,0.1642,95,Normal
2011-01-10,1,0,1,20,0,1,1,Clear,0.5,0.1642,74,Normal
2011-01-10,1,0,1,21,0,1,1,Clear,0.59,0.194,38,Normal
2011-01-10,1,0,1,22,0,1,1,Clear,0.59,0.1642,24,Normal
2011-01-10,1,0,1,23,0,1,1,Clear,0.59,0.1642,18,Normal
2011-01-11,1,0,1,0,0,2,1,Clear,0.59,0.1045,12,Normal
2011-01-11,1,0,1,1,0,2,1,Clear,0.59,0.1642,3,Normal
2011-01-11,1,0,1,2,0,2,1,Mist,0.55,0.194,3,Normal
2011-01-11,1,0,1,5,0,2,1,Mist,0.55,0.1343,6,Normal
2011-01-11,1,0,1,6,0,2,1,Mist,0.55,0.1343,27,Normal
2011-01-11,1,0,1,7,0,2,1,Mist,0.55,0.0,99,Normal
2011-01-11,1,0,1,8,0,2,1,Mist,0.51,0.0896,217,Normal
2011-01-11,1,0,1,9,0,2,1,Mist,0.51,0.1642,130,Normal
2011-01-11,1,0,1,10,0,2,1,Mist,0.51,0.1642,54,Normal
2011-01-11,1,0,1,11,0,2,1,Mist,0.47,0.1343,35,Normal
2011-01-11,1,0,1,12,0,2,1,Mist,0.51,0.1045,57,Normal
2011-01-11,1,0,1,13,0,2,1,Mist,0.59,0.0896,52,Normal
2011-01-11,1,0,1,14,0,2,1,Mist,0.59,0.0896,63,Normal
2011-01-11,1,0,1,15,0,2,1,Mist,0.8,0.0896,47,Humid
2011-01-11,1,0,1,16,0,2,1,Mist,0.86,0.2239,76,Very Humid
2011-01-11,1,0,1,17,0,2,1,Mist,0.86,0.2239,136,Very Humid
2011-01-11,1,0,1,18,0,2,1,Light snow,0.93,0.1045,95,Very Humid
2011-01-11,1,0,1,19,0,2,1,Light snow,0.93,0.0,51,Very Humid
2011-01-11,1,0,1,20,0,2,1,Light snow,0.93,0.194,32,Very Humid
2011-01-11,1,0,1,21,0,2,1,Light snow,0.86,0.0896,20,Very Humid
2011-01-11,1,0,1,22,0,2,1,Light snow,0.93,0.1045,29,Very Humid
2011-01-11,1,0,1,23,0,2,1,Light snow,0.93,0.0896,19,Very Humid
2011-01-12,1,0,1,0,0,3,1,Mist,0.86,0.0896,7,Very Humid
2011-01-12,1,0,1,1,0,3,1,Mist,0.86,0.1045,6,Very Humid
2011-01-12,1,0,1,2,0,3,1,Clear,0.86,0.1343,1,Very Humid
2011-01-12,1,0,1,5,0,3,1,Clear,0.86,0.1642,5,Very Humid
2011-01-12,1,0,1,6,0,3,1,Clear,0.93,0.1343,16,Very Humid
2011-01-12,1,0,1,7,0,3,1,Clear,0.69,0.1343,54,Humid
2011-01-12,1,0,1,8,0,3,1,Clear,0.59,0.1642,128,Normal
2011-01-12,1,0,1,9,0,3,1,Clear,0.59,0.3284,81,Normal
2011-01-12,1,0,1,10,0,3,1,Clear,0.55,0.2239,39,Normal
2011-01-12,1,0,1,11,0,3,1,Clear,0.51,0.3881,35,Normal
2011-01-12,1,0,1,12,0,3,1,Clear,0.47,0.5821,55,Normal
2011-01-12,1,0,1,13,0,3,1,Clear,0.44,0.3582,49,Normal
2011-01-12,1,0,1,14,0,3,1,Clear,0.47,0.3284,44,Normal
2011-01-12,1,0,1,15,0,3,1,Clear,0.47,0.4179,49,Normal
2011-01-12,1,0,1,16,0,3,1,Clear,0.44,0.3284,68,Normal
2011-01-12,1,0,1,17,0,3,1,Clear,0.47,0.3582,139,Normal
2011-01-12,1,0,1,18,0,3,1,Clear,0.47,0.5224,137,Normal
2011-01-12,1,0,1,19,0,3,1,Clear,0.47,0.4179,83,Normal
2011-01-12,1,0,1,20,0,3,1,Clear,0.5,0.3284,56,Normal
2011-01-12,1,0,1,21,0,3,1,Clear,0.55,0.3284,57,Normal
2011-01-12,1,0,1,22,0,3,1,Clear,0.55,0.4478,33,Normal
2011-01-12,1,0,1,23,0,3,1,Clear,0.59,0.4179,20,Normal
2011-01-13,1,0,1,0,0,4,1,Clear,0.59,0.2836,7,Normal
2011-01-13,1,0,1,1,0,4,1,Clear,0.5,0.2836,2,Normal
2011-01-13,1,0,1,2,0,4,1,Clear,0.5,0.3582,2,Normal
2011-01-13,1,0,1,3,0,4,1,Clear,0.5,0.3284,3,Normal
2011-01-13,1,0,1,4,0,4,1,Clear,0.5,0.2537,4,Normal
2011-01-13,1,0,1,5,0,4,1,Clear,0.5,0.2985,3,Normal
2011-01-13,1,0,1,6,0,4,1,Clear,0.54,0.1343,28,Normal
2011-01-13,1,0,1,7,0,4,1,Clear,0.54,0.1343,72,Normal
2011-01-13,1,0,1,8,0,4,1,Clear,0.5,0.194,202,Normal
2011-01-13,1,0,1,9,0,4,1,Clear,0.5,0.3284,139,Normal
2011-01-13,1,0,1,10,0,4,1,Mist,0.5,0.3582,38,Normal
2011-01-13,1,0,1,11,0,4,1,Mist,0.44,0.4478,37,Normal
2011-01-13,1,0,1,12,0,4,1,Clear,0.44,0.4179,52,Normal
2011-01-13,1,0,1,13,0,4,1,Clear,0.41,0.4478,83,Normal
2011-01-13,1,0,1,14,0,4,1,Clear,0.41,0.3881,42,Normal
2011-01-13,1,0,1,15,0,4,1,Clear,0.38,0.2985,60,Dry
2011-01-13,1,0,1,16,0,4,1,Clear,0.38,0.3582,78,Dry
2011-01-13,1,0,1,17,0,4,1,Clear,0.4,0.2836,162,Dry
2011-01-13,1,0,1,18,0,4,1,Clear,0.4,0.3284,144,Dry
2011-01-13,1,0,1,19,0,4,1,Clear,0.47,0.2537,99,Normal
2011-01-13,1,0,1,20,0,4,1,Clear,0.47,0.2239,64,Normal
2011-01-13,1,0,1,21,0,4,1,Clear,0.46,0.2985,40,Normal
2011-01-13,1,0,1,22,0,4,1,Clear,0.46,0.3284,30,Normal
2011-01-13,1,0,1,23,0,4,1,Clear,0.5,0.194,15,Normal
2011-01-14,1,0,1,0,0,5,1,Clear,0.5,0.194,14,Normal
2011-01-14,1,0,1,1,0,5,1,Clear,0.54,0.1642,5,Normal
2011-01-14,1,0,1,2,0,5,1,Clear,0.54,0.1343,1,Normal
2011-01-14,1,0,1,3,0,5,1,Clear,0.54,0.1045,1,Normal
2011-01-14,1,0,1,5,0,5,1,Clear,0.54,0.0896,8,Normal
2011-01-14,1,0,1,6,0,5,1,Clear,0.54,0.0,17,Normal
2011-01-14,1,0,1,7,0,5,1,Clear,0.74,0.1642,70,Humid
2011-01-14,1,0,1,8,0,5,1,Clear,0.68,0.0,158,Humid
2011-01-14,1,0,1,9,0,5,1,Clear,0.69,0.1343,117,Humid
2011-01-14,1,0,1,10,0,5,1,Clear,0.55,0.194,44,Normal
2011-01-14,1,0,1,11,0,5,1,Clear,0.51,0.2836,53,Normal
2011-01-14,1,0,1,12,0,5,1,Clear,0.44,0.2537,61,Normal
2011-01-14,1,0,1,13,0,5,1,Clear,0.37,0.3881,77,Dry
2011-01-14,1,0,1,14,0,5,1,Clear,0.41,0.2836,64,Normal
2011-01-14,1,0,1,15,0,5,1,Clear,0.38,0.1642,68,Dry
2011-01-14,1,0,1,16,0,5,1,Clear,0.41,0.1045,90,Normal
2011-01-14,1,0,1,17,0,5,1,Clear,0.41,0.1642,159,Normal
2011-01-14,1,0,1,18,0,5,1,Clear,0.47,0.0,139,Normal
2011-01-14,1,0,1,19,0,5,1,Clear,0.59,0.0896,92,Normal
2011-01-14,1,0,1,20,0,5,1,Clear,0.59,0.0,68,Normal
2011-01-14,1,0,1,21,0,5,1,Clear,0.69,0.0,52,Humid
2011-01-14,1,0,1,22,0,5,1,Mist,0.69,0.0,36,Humid
2011-01-14,1,0,1,23,0,5,1,Mist,0.55,0.0,27,Normal
2011-01-15,1,0,1,0,0,6,0,Clear,0.55,0.0,28,Normal
2011-01-15,1,0,1,1,0,6,0,Mist,0.59,0.0896,20,Normal
2011-01-15,1,0,1,2,0,6,0,Mist,0.59,0.0896,12,Normal
2011-01-15,1,0,1,3,0,6,0,Mist,0.59,0.0,8,Normal
2011-01-15,1,0,1,4,0,6,0,Mist,0.59,0.0,5,Normal
2011-01-15,1,0,1,5,0,6,0,Clear,0.59,0.0,1,Normal
2011-01-15,1,0,1,6,0,6,0,Clear,0.63,0.1045,3,Humid
2011-01-15,1,0,1,7,0,6,0,Clear,0.63,0.0,10,Humid
2011-01-15,1,0,1,8,0,6,0,Clear,0.63,0.1343,23,Humid
2011-01-15,1,0,1,9,0,6,0,Clear,0.64,0.1343,33,Humid
2011-01-15,1,0,1,10,0,6,0,Clear,0.59,0.1642,59,Normal
2011-01-15,1,0,1,11,0,6,0,Clear,0.55,0.2239,72,Normal
2011-01-15,1,0,1,12,0,6,0,Clear,0.48,0.2239,89,Normal
2011-01-15,1,0,1,13,0,6,0,Clear,0.38,0.2985,101,Dry
2011-01-15,1,0,1,14,0,6,0,Clear,0.39,0.2836,118,Dry
2011-01-15,1,0,1,15,0,6,0,Mist,0.36,0.194,129,Dry
2011-01-15,1,0,1,16,0,6,0,Mist,0.34,0.194,128,Dry
2011-01-15,1,0,1,17,0,6,0,Mist,0.36,0.2836,83,Dry
2011-01-15,1,0,1,18,0,6,0,Mist,0.45,0.2537,84,Normal
2011-01-15,1,0,1,19,0,6,0,Mist,0.39,0.2537,74,Dry
2011-01-15,1,0,1,20,0,6,0,Mist,0.39,0.2537,41,Dry
2011-01-15,1,0,1,21,0,6,0,Mist,0.39,0.2239,57,Dry
2011-01-15,1,0,1,22,0,6,0,Mist,0.42,0.1045,26,Normal
